PMID,DOI,PubMed URL,Title,Abstract,Authors,Publication Year,Journal,Publication Types,Language,MeSH Terms,Keywords,Screening Decision,Exclusion Reason,Screening Notes
42547994,10.1111/1556-4029.70424,https://pubmed.ncbi.nlm.nih.gov/42547994/,Forensic psychiatric evaluation of legal capacity in older adults: Clinical and cognitive correlates.,"Forensic psychiatric evaluation of capacity is commonly requested in clinical practice, particularly in relation to financial decision-making and power of attorney. However, empirical data describing real-world assessment processes and associated clinical factors remain limited. This study examined patients referred for forensic psychiatric evaluation of capacity in a specialized outpatient setting and explored the relationship between routinely administered cognitive screening measures and clinical determinations. A retrospective analysis was conducted on 1247 individuals aged 60-98 years who underwent evaluation between 2020 and 2026. Sociodemographic characteristics, clinical assessments, and results of cognitive screening tools-including the Standardized Mini-Mental State Examination (MMSE), Verbal Fluency Test, and Clock Drawing Test-were analyzed in relation to clinical capacity determinations. Most individuals (90.9%) were assessed as possessing capacity, while 9.1% were considered to lack capacity and were recommended for guardianship. Individuals lacking capacity were older, had fewer years of education, and demonstrated lower performance across all cognitive measures. In multivariable analyses, MMSE and verbal fluency scores were associated with clinical determinations of capacity, whereas demographic variables were not independently associated. ROC analyses showed that MMSE had the highest discriminatory performance among individual measures. Cognitive screening results were interpreted as supportive information within a comprehensive forensic evaluation rather than as standalone determinants of legal capacity. These findings reflect routine clinical practice and highlight the importance of integrating cognitive, clinical, and contextual factors in forensic capacity assessments.",Mehmet Murat Kırpınar; Zeynep Özge Dağoğlu; Sarp Yoldaş; Merve Rana Altunel Ülkü; İrem Yıldırım; Ömer Faruk Demirel,2026,Journal of forensic sciences,Journal Article,eng,,MMSE; cognitive assessment; decision‐making capacity; forensic psychiatry; older adults; power of attorney,,,
42576161,10.1002/alz.71733,https://pubmed.ncbi.nlm.nih.gov/42576161/,Multidimensional workplace stressors differentially impact cognitive trajectories.,"INTRODUCTION: Little research has assessed detailed occupational exposures in relation to the dementia exposome. We characterized patterns of multidimensional workplace stressors in relation to cognitive trajectories and racial disparities.
METHODS: We included 704 participants from the Michigan Cognitive Aging Project (MageT1 = 63.32 ± 2.99). Main lifetime occupations were linked to 26 Occupational Information Network-measured workplace stressors. Latent profile analysis identified stressor profiles. Global cognition was measured with a comprehensive neuropsychological battery. Latent growth curve models assessed how stressor profiles related to cognitive trajectories. We examined racial differences in profile membership and profile-cognition associations.
RESULTS: Five profiles emerged. Black participants were more likely to show higher-stress profiles; this difference was explained by education. The profile with low job control/limited other stressors had the lowest initial cognition, especially among Black participants. The profile with high emotional labor/job demands had the fastest cognitive decline.
DISCUSSION: Workplace stress is a relevant, under-recognized aspect of the dementia exposome.",Monica E Walters; Kiana A Scambray; Jordan D Palms; Robrielle M Pierce; Ketlyne Sol; Laura B Zahodne,2026,Alzheimer's & dementia : the journal of the Alzheimer's Association,Journal Article,eng,"Aged; Female; Humans; Male; Middle Aged; Black or African American / psychology; Cognition; Cognitive Aging / psychology; Cognitive Dysfunction / psychology; Michigan; Neuropsychological Tests; Occupational Stress / psychology; Socioeconomic Disparities in Health; Stress, Psychological; Working Conditions; Workplace / psychology",O*NET; attention; cognitive aging; episodic memory; exposome; heterogeneity; occupational exposures; racial disparities; socioeconomic status; stressors; verbal fluency; working memory,,,
42463231,10.1093/aje/kwag168,https://pubmed.ncbi.nlm.nih.gov/42463231/,Time Trends in Susceptibility to Scams in Community-Dwelling Older Adults.,"This study examined the time trends of susceptibility to scams across 4 birth cohorts in the US that span between 1925 and 1944. Data came from community-dwelling older adults without dementia participating in an epidemiologic cohort study of aging and dementia. A 5-item instrument for scam susceptibility assessed participants' scam related behaviors and perceptions, such as how they manage phone calls from telemarketers, and whether they agree with claims that are unrealistically good. To capture time trends, age- and education-standardized mean scam susceptibility score was computed for each birth cohort and compared across the cohorts. Of the 1037 participants included, 280 were born between 1925-1929, 248 between 1930-1934, 279 between 1935-1939, and 230 between 1940-1944. The mean scam susceptibility scores trended downward monotonically from the earliest to the most recent cohorts. The results are robust to age distributions, analytic approaches, or cognitive impairment status. In conclusion, older adults of more recent birth cohorts report fewer behaviors linked to scam susceptibility. This study suggests that scam susceptibility appears to be a function not only of individual-level factors but also reflective of shared life experiences. More broadly, scam susceptibility is amenable to interventions effective at the population level.",Lei Yu; Lianlian Du; Tianhao Wang; Gary Mottola; Christopher C Stewart; Peter A Lichtenberg; Francine Grodstein; David A Bennett; Patricia A Boyle,2026,American journal of epidemiology,Journal Article,eng,,Aging; Birth cohorts; Susceptibility to scams; Time trends,,,
42541028,10.26828/cannabis/2026/000372,https://pubmed.ncbi.nlm.nih.gov/42541028/,Sleep Motives and Expectancies for Cannabis Use in Pregnancy.,"OBJECTIVE: Sleep difficulties are a common motive for cannabis use during pregnancy. However, evidence supporting cannabis use as an effective sleep aid is limited, while substantial research demonstrates the efficacy of cognitive behavioral treatments. This study characterized the sleep complaints of adults using cannabis during pregnancy to inform prevention and intervention efforts.
METHOD: Pregnant adults reporting cannabis use (a) in the month prior to or (b) after becoming pregnant were recruited from across the United States between May and August of 2025. Participants completed a cross-sectional research survey, and those who passed all fraudulent responding criteria were included in data analysis. Descriptive statistics, chi-square, and t-tests compared the demographic and clinical characteristics of pregnant adults who did and did not report using cannabis to help their sleep.
RESULTS: Of the 210 valid respondents (100% assigned female at birth, 93% cisgender; age M = 29.3 years; 53% White, 38% Black; 58% in second trimester), 185 persisted in cannabis use during pregnancy and 119 reported using ""mostly"" or ""almost always"" to help their sleep. Those using cannabis for sleep reported greater insomnia severity, earlier bedtimes, and more wake after sleep onset than those using cannabis for other reasons, but they were less likely to report taking >30 minutes to fall asleep, consistent with expectancies that cannabis would help their sleep. Three out of four using cannabis for sleep (78%) expressed interest in alternative sleep treatments.
CONCLUSIONS: Sleep is a common reason for cannabis use during pregnancy that appears to be a promising target for prevention and intervention efforts.",Mary Beth Miller; Margaret Lloyd Sieger; Katie R Moskal; Emily Marut; Shikha Gupta; Andrea M Wycoff,2026,"Cannabis (Albuquerque, N.M.)",Journal Article,eng,,child; insomnia; marijuana; sleep health; women,,,
42166734,10.1093/geronb/gbag090,https://pubmed.ncbi.nlm.nih.gov/42166734/,Decomposing trust-related decision making: dimensionality and predictability of phishing susceptibility in an adult lifespan sample.,"OBJECTIVES: Email phishing is a major source of fraud, costing individuals and organizations billions of dollars each year. Older adults are disproportionately vulnerable to phishing and are frequently targeted by scammers. As phishing increases in sophistication, there is a growing need to understand the decision-making processes behind phishing susceptibility: What makes someone susceptible to phishing? Can their susceptibility be predicted, and does phishing susceptibility increase with age?
METHODS: To address these important research questions, we take a data-driven approach, fitting a series of neural network models to data from an adult lifespan sample of human decision-making behavior in a phishing email detection task with demonstrated ecological validity. By varying the size of hidden layers in the neural networks, we systematically investigated the dimensionality of phishing susceptibility, asking how many characterizing features of a participant and an email are needed to predict successful detection of phishing emails. We further examined how these dimensions correlated with signal detection metrics and age to elucidate their psychological significance.
RESULTS: As few as 6 dimensions captured almost half the variability in the data. 2 dimensions were differentially associated with sensitivity and criterion. 3 dimensions showed significant but distinct correlations with age.
DISCUSSION: Phishing susceptibility is low-dimensional and moderately predictable. Multiple dissociable components contribute to phishing detection, with age exerting distinct, component-specific influences. This work illustrates the utility of neural network modeling for uncovering latent structure in phishing susceptibility and advances understanding of trust-related decision making in adulthood and aging.",Shensheng Wang; Ziad Hakim; Didem Pehlivanoglu; Natalie C Ebner; Matthew D Grilli; Robert C Wilson,2026,"The journals of gerontology. Series B, Psychological sciences and social sciences",Journal Article,eng,"Humans; Decision Making / physiology; Aged; Trust / psychology; Female; Neural Networks, Computer; Adult; Male; Electronic Mail; Middle Aged; Aging / psychology, physiology; Deception; Aged, 80 and over; Young Adult; Signal Detection, Psychological",Aging; Cyber security; Deception detection; Fraud; Neural network modeling,,,
41621076,10.1080/13607863.2026.2620032,https://pubmed.ncbi.nlm.nih.gov/41621076/,Anxiety and depressive symptoms differentially moderate the relationship between cognitive reappraisal and financial exploitation vulnerability in older adults.,"OBJECTIVES: Financial exploitation (FE) vulnerability in older adults is a growing public health concern and may signal future cognitive decline. This study investigated the associations between FE vulnerability and cognitive reappraisal and whether this varies by anxiety and depressive symptoms.
METHOD: One hundred and fifty-two older adults without dementia completed the Perceived Financial Vulnerability Scale (PFVS), Emotion Regulation Questionnaire-Cognitive Reappraisal subscale, Generalized Anxiety Disorder-7 (GAD-7), and Patient Health Questionnaire-9 (PHQ-9). Hierarchical regressions tested associations between FE vulnerability, reappraisal, and anxiety and depression levels. Moderation analyses evaluated whether mood symptomatology influenced the PFVS-reappraisal link, followed by simple slopes and Johnson-Neyman analyses. Models were adjusted for age, sex, race, education, and income.
RESULTS: FE vulnerability was associated with cognitive reappraisal (β=-0.33, p = 0.047) and anxiety (β=0.34, p < 0.001). The PFVS-reappraisal association was moderated by anxiety (β=0.21, p = 0.005) and depressive symptoms (β=-0.12, p = 0.033). Greater reappraisal was linked to reduced PFVS at lower anxiety (β=-0.52, p = 0.012) and higher depression (β=-0.53, p = 0.020). Johnson-Neyman analyses identified significance for anxiety scores (GAD-7) between 1 and 6 and depression scores (PHQ-9) above 4.
CONCLUSION: FE vulnerability was associated with cognitive reappraisal and moderated by anxiety and depression. Emotion regulation interventions may reduce FE vulnerability, particularly among older adults with lower anxiety or higher depressive symptoms.",Melanie Leguizamon; Jenna Axelrod; Belinda Y Zhang; Daisy T Noriega-Makarskyy; Cassidy P Molinare; Emma Oyen; Jordan T Williams; Laura Mosqueda; Mark Lai; S Duke Han,2026,Aging & mental health,Journal Article,eng,"Humans; Female; Aged; Depression / psychology; Male; Anxiety / psychology; Emotional Regulation / physiology; Aged, 80 and over; Aging / psychology; Cognition",Financial exploitation; aging; anxiety; cognitive reappraisal; depression,,,
41400847,10.1177/00914150251401492,https://pubmed.ncbi.nlm.nih.gov/41400847/,"Early-Life Famine Exposure, Financial Literacy, and Retirement Planning: Evidence from China.","This paper documents the early-source determinants of retirement planning and financial literacy in China. Taking the 1959-1961 China Famine as a natural experiment, it compares the probability of retirement planning and the level of finance literacy in 2014 for the famine-affected cohorts (1953-1961) with those non-affected cohorts (1962-1963) born in provinces with varying famine severity. Taking advantage of a newly added module in 2014 China Family Panel Studies to construct a measure of financial literacy, this paper finds that nutritional deprivation in utero and during early childhood negatively affects financial literacy in older age. As a result of lower financial literacy, these individuals also report lower likelihoods of retirement planning. Further investigations suggest that impairments of cognitive ability are a likely channel through which famine impacts financial literacy and retirement planning, consistent with the notion that the cost of developing a retirement savings plan is higher for cognitively disadvantaged individuals.",Haopeng Sun; Yuanhua Xu,2026,International journal of aging & human development,Journal Article,eng,"Humans; Retirement / statistics & numerical data, economics; China; Famine / statistics & numerical data; Female; Male; Aged; Literacy / statistics & numerical data; Starvation",Early-life experience; cognitive ability; financial literacy; retirement planning; the China famine,,,
42277578,10.1176/appi.neuropsych.20250087,https://pubmed.ncbi.nlm.nih.gov/42277578/,Diffusion Tensor Imaging Correlates of Financial Capacity Instrument-Short Form Completion Time in Mild Cognitive Impairment.,"OBJECTIVE: The capacity to complete financial tasks accurately and efficiently is fundamental to financial independence; however, early declines in the progression of Alzheimer's disease may contribute to personal financial loss, risk for elder abuse, and increased caregiver burden. Slower performance on measures of financial capacity may reflect early disease-related changes, foreshadowing subsequent cognitive decline. The authors investigated the relationship between the time needed to complete financial tasks and white matter tract diffusion characteristics among older individuals with or without mild cognitive impairment (MCI).
METHODS: Fifteen participants with MCI and 15 healthy control participants completed diffusion MRI scans, a neuropsychological assessment, and the Financial Capacity Instrument-Short Form (FCI-SF). In analyses of data adjusted for demographic characteristics, Geriatric Depression Scale scores, and FCI-SF total score, the authors used diffusion tensor imaging to investigate correlations between the time needed to complete financial tasks and diffusion characteristics of white matter tracts terminating in the angular and fusiform gyri.
RESULTS: FCI-SF completion times were significantly prolonged among participants with MCI compared with healthy control participants. The two groups did not significantly differ in diffusion metrics across the selected white matter tracts. FCI-SF total completion time was significantly correlated with multiple diffusion metrics in the arcuate, vertical occipital, and inferior longitudinal fasciculi of individuals with MCI.
CONCLUSIONS: Completion time measures of the FCI-SF may reflect early disease-related changes in white matter tracts implicated in reading and arithmetic performance.",Daniel A Stevens; Kylie Alm; Arnold Bakker; Vidyulata Kamath; Kevin J Manning; George W Rebok; Paul B Rosenberg; Milap A Nowrangi,2026,The Journal of neuropsychiatry and clinical neurosciences,Journal Article,eng,,Alzheimer’s Disease; Cognitive Disorders; Financial Capacity; Mild Cognitive Impairment,,,
42312061,10.3389/fpsyg.2026.1823279,https://pubmed.ncbi.nlm.nih.gov/42312061/,"Participant versus informant reports of changes in social, emotional, and financial functioning after an exercise intervention with older adults: an actor-partner interdependence model analysis.","Informant reports are potentially valuable, yet underutilized, measures for non-cognitive outcomes in older adults. Specifically, informant reports from close others may offer insights into changes in observable functional status and behavior beyond what participants report. In the context of an experimental exercise protocol in older adults, informant reports could potentially demonstrate changes in functional status and behavior that are unnoticed by participants but observable by others, based on the reliability of some informant report measures in this population. Given the interdependence of self-report and informant-report measures of a participant's behavior, this study aimed to investigate the association between self-report and informant-report measures across an experimental exercise protocol by utilizing an Actor-Partner Interdependence Model (APIM) approach to concurrently analyze the report styles. A total of 273 participants (61.17% Female, 91.57% White, M age = 67.92) and 117 informants (primarily spouses and/or family members) participated in the study. Participants completed a 16-week exercise program. Participants were asked to report on their life satisfaction, financial capacity, and problems with daily functioning at baseline and the end of the program, while informants were asked to report on their interpretation of the participant's life satisfaction, financial capacity, and problems with daily functioning at the same timepoints. APIMs showed that higher informant-reported baseline life satisfaction was associated with higher participant self-reported life satisfaction following the 16-week experimental protocol. In contrast, there was divergence in self-reported and informant-reported financial capacity. Higher baseline informant reports were associated with lower informant follow-up reports but higher participant follow-up reports. Finally, daily functioning was more aligned. Participants saw an overall decrease in problems with daily functioning from baseline to follow-up, and higher participant baseline reports of problems with daily functioning were associated with lower follow-up reports in both participants and informants. The analysis shows that the APIM effectively captures concordance and discrepancy between report styles and suggests APIM may be an effective tool to most accurately interpret outcomes in older adults when both self-report and informant-report measures are collected.",Kyle A Chrystal; Margy Y Chen; Angela D Bryan; Carillon J Skrzynski,2026,Frontiers in psychology,Journal Article,eng,,daily functioning; dyad; financial capacity; life satisfaction; older adults,,,
42282091,10.1177/18911803261450613,https://pubmed.ncbi.nlm.nih.gov/42282091/,PROTOCOL: Financial Literacy Programmes for the Ageing Population: An Evidence and Gap Map.,"This is the protocol for a Campbell evidence and gap map. The objectives are as follows: to identify and describe the available evidence on interventions designed to improve financial literacy, digital financial skills, financial decision-making, and resilience to fraud and abuse among older adults; map the scope and focus of existing research, including the type of interventions implemented, target populations, delivery modalities, and contextual factors; assess the quality of the types of evidence available, including randomised and non-randomised controlled trials, as well as qualitative studies exploring the effectiveness and acceptability of financial literacy interventions; identify evidence clusters where sufficient studies exist to support further synthesis (e.g., systematic reviews or meta-analyses) and highlight evidence gaps where additional primary research is most needed, and; provide a structured and accessible resource for policymakers, practitioners, researchers, and advocacy groups to inform the design, adaptation, and implementation of financial literacy programmes for older adults.",Carina Fernandes; Isabel Silva; Inês Gomes,2026,Campbell systematic reviews,Journal Article,eng,,"older adults, financial literacy, digital financial literacy, financial abuse, financial vulnerability",,,
